~
(END)...skipping...
 ss_customer_sk | sumsales
----------------+----------
          69362 |     0.00
          95955 |     0.00
         133121 |     0.00
         238718 |     0.00
         241916 |     0.00
         372886 |     0.00
         394906 |     0.00
         590319 |     0.00
         595761 |     0.00
         627522 |     0.00
         707984 |     0.00
         743415 |     0.00
         616816 |     0.72
         154563 |     4.64
         652915 |     5.16
          80254 |    10.99
         555064 |    11.10
         686509 |    13.68
         198563 |    13.86
         263113 |    17.47
         164020 |    17.50
         204775 |    18.85
         514410 |    18.88
         148289 |    20.40
         314278 |    25.90
         757121 |    26.92
         615424 |    27.45
         478411 |    27.52
           3727 |    31.05
         529529 |    39.47
         452079 |    40.02
          27302 |    41.00
         157841 |    41.13
         642906 |    42.80
         744789 |    46.71
          12369 |    47.46
         309324 |    47.70
         452449 |    48.40
         607472 |    48.90
         474640 |    50.16
         661073 |    51.36
         707587 |    57.36
         599977 |    59.29
         117169 |    62.05
         221952 |    62.37
         632813 |    62.50
          20301 |    63.78
         189406 |    64.03
         742540 |    64.50
         431635 |    64.96
         431302 |    66.56
          57455 |    66.64
         587588 |    67.04
          83115 |    68.20
         508686 |    68.63
         151361 |    70.94
         733604 |    71.66
         366489 |    72.39
         172555 |    73.36
         527752 |    73.40
         220955 |    74.46
         165680 |    75.51
         418213 |    76.40
          54729 |    77.09
         515427 |    79.53
         130101 |    80.75
          90998 |    81.49
          30713 |    84.66
         503576 |    85.68
          98263 |    87.12
         483614 |    87.86
         208183 |    88.48
         688872 |    89.34
         199975 |    91.61
         327272 |    91.69
         620186 |    92.79
         470509 |    93.18
          96702 |    94.41
         321518 |    94.65
         325789 |    94.80
         477702 |    95.70
         144056 |    96.14
         424032 |    98.81
         294238 |    98.88
         316378 |    99.68
         284465 |    99.69
         372739 |    99.87
         162175 |   102.74
         257508 |   102.80
         566191 |   103.17
         605406 |   103.40
         130471 |   105.16
          39739 |   109.39
         150850 |   109.40
         129552 |   109.41
          23192 |   110.54
         383184 |   111.00
         399914 |   112.52
         345335 |   113.26
         201828 |   116.18
(100 rows)
